ITI,bidding,budget,budget_liquid,budget_magnitude,budget_payout,budget_value,completed,computer_bid,correct,date,error,error_timeout,finish,fixation,fractal_offer,juice,left,monkey_bid,ordered,paid,percent_correct,primary_side,results,reward,reward_chance,reward_liquid,reward_magnitude,reward_payout,reward_value,rewarded,right,second_budget_value,second_reward_chance,second_reward_magnitude,second_reward_value,starting_bid,subtask,target_box_shift,target_box_size,task_failure,time,trial_end,trial_no,trial_start,type,unrewarded,water
3,4,0,0,1.2,1.20338983050847,NaN,130,NaN,130,2019-11-04,0,2,18:00:49.399,0.508474576271186,1,147.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,2,2,1.50847457627119,3,98,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,18:00:42.778,1,130,1,PAV,32,0
3,4,0,0,1.2,1.20338983050847,NaN,131,NaN,131,2019-11-04,0,2,18:01:01.028,0.508474576271186,1,148.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,1,1,1,1.50847457627119,1,99,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,18:00:54.678,1,131,1,PAV,32,0
3,4,0,0,1.2,1.20338983050847,NaN,132,NaN,132,2019-11-04,0,2,18:01:12.496,0.508474576271186,1,148.5,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,1,0,1.5,1.50847457627119,2,99,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,18:01:06.244,1,132,1,PAV,33,0
3,4,0,0,1.2,1.20338983050847,NaN,133,NaN,133,2019-11-04,0,2,18:01:25.428,0.508474576271186,1,150.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,2,2,1.50847457627119,3,100,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,18:01:18.881,1,133,1,PAV,33,0
3,4,0,0,1.2,1.20338983050847,NaN,134,NaN,134,2019-11-04,0,2,18:01:37.077,0.508474576271186,1,151.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,1,1,1,1.50847457627119,1,101,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,18:01:30.711,1,134,1,PAV,33,0
3,4,0,0,1.2,1.20338983050847,NaN,135,NaN,135,2019-11-04,0,2,18:01:48.832,0.508474576271186,1,153,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,1,1.5,1.5,1.50847457627119,2,102,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,18:01:42.413,1,135,1,PAV,33,0
3,4,0,0,1.2,1.20338983050847,NaN,136,NaN,136,2019-11-04,0,2,18:02:01.413,0.508474576271186,1,153,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,1,0,2,1.50847457627119,3,102,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,18:01:55.245,1,136,1,PAV,34,0
3,4,0,0,1.2,1.20338983050847,NaN,137,NaN,137,2019-11-04,0,2,18:02:14.312,0.508474576271186,1,154,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,1,1,1,1.50847457627119,1,103,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,18:02:07.911,1,137,1,PAV,34,0
3,4,0,0,1.2,1.20338983050847,NaN,138,NaN,138,2019-11-04,0,2,18:02:27.362,0.508474576271186,1,155.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,1,1.5,1.5,1.50847457627119,2,104,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,18:02:20.860,1,138,1,PAV,34,0
3,4,0,0,1.2,1.20338983050847,NaN,139,NaN,139,2019-11-04,0,2,18:02:39.295,0.508474576271186,1,157.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,2,2,1.50847457627119,3,105,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,18:02:32.613,1,139,1,PAV,34,0
